sample,T,score,seq_recovery,pLDDT,type
T=0.7_48_wm,0.7,1.0318,0.5314,81.8953966101695,wm
T=0.7_49_wm,0.7,1.1622,0.4831,82.76387393302693,wm
T=0.7_50_wm,0.7,1.1239,0.4831,82.22008469055375,wm
T=0.1_1_original,0.1,0.723,0.5942,87.82852469959947,original
T=0.1_2_original,0.1,0.7332,0.5556,86.02571895424838,original
T=0.1_3_original,0.1,0.7203,0.5797,86.16214814814815,original
T=0.1_4_original,0.1,0.7129,0.5652,85.2477594183741,original
T=0.1_5_original,0.1,0.7247,0.5507,86.45991228070176,original
T=0.1_6_original,0.1,0.7321,0.5604,87.2053886693017,original
T=0.1_7_original,0.1,0.7153,0.5604,84.79570954907162,original
T=0.1_8_original,0.1,0.717,0.5797,86.94528827037773,original
T=0.1_9_original,0.1,0.7208,0.5894,83.66499316005472,original
T=0.1_10_original,0.1,0.7147,0.5652,85.06761379310345,original
T=0.1_11_original,0.1,0.7231,0.5894,87.63076975016881,original
T=0.1_12_original,0.1,0.7271,0.5556,85.78105298457412,original
T=0.1_13_original,0.1,0.7274,0.5604,86.20592766242466,original
T=0.1_14_original,0.1,0.732,0.5797,86.58881720430108,original
T=0.1_15_original,0.1,0.729,0.5942,87.56905906593406,original
T=0.1_16_original,0.1,0.7276,0.5507,85.31185676392573,original
T=0.1_17_original,0.1,0.7102,0.5797,87.69435795076514,original
T=0.1_18_original,0.1,0.7269,0.5556,86.57041994750656,original
T=0.1_19_original,0.1,0.7361,0.5507,85.89954696868755,original
T=0.1_20_original,0.1,0.7224,0.5652,85.53709356337093,original
T=0.1_21_original,0.1,0.7102,0.5845,85.95343104596935,original
T=0.1_22_original,0.1,0.7186,0.5652,86.33493078444297,original
T=0.1_23_original,0.1,0.7273,0.5604,85.17011432414257,original
T=0.1_24_original,0.1,0.7452,0.5459,87.0734716732543,original
T=0.1_25_original,0.1,0.7331,0.5604,87.47222222222223,original
T=0.1_26_original,0.1,0.7268,0.5749,87.30485618729098,original
T=0.1_27_original,0.1,0.7202,0.5652,86.30940789473684,original
T=0.1_28_original,0.1,0.7385,0.5894,86.60469871360867,original
T=0.1_29_original,0.1,0.7178,0.5652,87.71026755852843,original
T=0.1_30_original,0.1,0.7189,0.5556,87.39533647375505,original
T=0.1_31_original,0.1,0.7111,0.5749,86.06039597315436,original
T=0.1_32_original,0.1,0.7204,0.5797,87.52821501014199,original
T=0.1_33_original,0.1,0.721,0.5604,87.47470039946738,original
T=0.1_34_original,0.1,0.7308,0.5749,87.66347565043361,original
T=0.1_35_original,0.1,0.7024,0.5845,87.607698630137,original
T=0.1_36_original,0.1,0.7247,0.5652,88.30957489878543,original
T=0.1_37_original,0.1,0.73,0.5797,87.50950830564784,original
T=0.1_38_original,0.1,0.7192,0.5652,86.759774685222,original
T=0.1_39_original,0.1,0.7117,0.5604,86.02612491605103,original
T=0.1_40_original,0.1,0.733,0.57,89.10965306122449,original
T=0.1_41_original,0.1,0.7293,0.5604,87.27239231278992,original
T=0.1_42_original,0.1,0.7333,0.5556,87.73138347884486,original
T=0.1_43_original,0.1,0.7191,0.5652,85.87862524785194,original
T=0.1_44_original,0.1,0.7249,0.57,86.86028628495339,original
T=0.1_45_original,0.1,0.7286,0.5459,85.37005347593582,original
T=0.1_46_original,0.1,0.7184,0.5652,85.81198815009876,original
T=0.1_47_original,0.1,0.7267,0.5604,87.90645552560648,original
T=0.1_48_original,0.1,0.7294,0.5507,87.09671591672263,original
T=0.1_49_original,0.1,0.7205,0.5411,86.49148630136986,original
T=0.1_50_original,0.1,0.7164,0.57,86.68398516520567,original
T=0.1_1_wm,0.1,0.7296,0.5604,87.28650066401063,wm
T=0.1_2_wm,0.1,0.7137,0.5507,83.68882235528942,wm
T=0.1_3_wm,0.1,0.7263,0.5652,85.37469879518073,wm
T=0.1_4_wm,0.1,0.7165,0.5604,88.44981370592147,wm
T=0.1_5_wm,0.1,0.7136,0.5507,85.94952220726783,wm
T=0.1_6_wm,0.1,0.7322,0.5604,86.9536849044166,wm
T=0.1_7_wm,0.1,0.7137,0.5652,86.38383697813121,wm
T=0.1_8_wm,0.1,0.7132,0.5749,86.75838752488387,wm
T=0.1_9_wm,0.1,0.7172,0.5749,84.71898491083677,wm
T=0.1_10_wm,0.1,0.7007,0.5652,85.56305061559507,wm
T=0.1_11_wm,0.1,0.7248,0.5845,86.36746809939557,wm
T=0.1_12_wm,0.1,0.7273,0.5556,86.17974479516454,wm
T=0.1_13_wm,0.1,0.7243,0.5556,86.05553547523427,wm
T=0.1_14_wm,0.1,0.7255,0.5845,85.8012808539026,wm
T=0.1_15_wm,0.1,0.7293,0.599,88.0008442004118,wm
T=0.1_16_wm,0.1,0.7347,0.5604,86.87288270377734,wm
T=0.1_17_wm,0.1,0.7102,0.5797,87.69435795076514,wm
T=0.1_18_wm,0.1,0.7365,0.5556,86.43061923583662,wm
T=0.1_19_wm,0.1,0.7361,0.5507,85.89954696868755,wm
T=0.1_20_wm,0.1,0.722,0.5652,85.7414323607427,wm
T=0.1_21_wm,0.1,0.7102,0.5845,85.95343104596935,wm
T=0.1_22_wm,0.1,0.7186,0.5652,86.33493078444297,wm
T=0.1_23_wm,0.1,0.7217,0.57,83.99590053763441,wm
T=0.1_24_wm,0.1,0.7447,0.5459,86.82384158415842,wm
T=0.1_25_wm,0.1,0.7331,0.5604,87.47222222222223,wm
T=0.1_26_wm,0.1,0.7268,0.5749,87.30485618729098,wm
T=0.1_27_wm,0.1,0.7202,0.5652,86.30940789473684,wm
T=0.1_28_wm,0.1,0.7316,0.57,86.87078787878788,wm
T=0.1_29_wm,0.1,0.7175,0.5652,87.71588747488279,wm
T=0.1_30_wm,0.1,0.7189,0.5556,87.39533647375505,wm
T=0.1_31_wm,0.1,0.7111,0.5749,86.06039597315436,wm
T=0.1_32_wm,0.1,0.7204,0.5797,87.52821501014199,wm
T=0.1_33_wm,0.1,0.721,0.5604,87.47470039946738,wm
T=0.1_34_wm,0.1,0.7275,0.5845,87.60526421404683,wm
T=0.1_35_wm,0.1,0.7064,0.5845,87.41152322404372,wm
T=0.1_36_wm,0.1,0.7247,0.5652,88.30957489878543,wm
T=0.1_37_wm,0.1,0.7367,0.5749,87.39743234323431,wm
T=0.1_38_wm,0.1,0.7192,0.5652,86.759774685222,wm
T=0.1_39_wm,0.1,0.7117,0.5604,86.02612491605103,wm
T=0.1_40_wm,0.1,0.7331,0.57,89.20823449216087,wm
T=0.1_41_wm,0.1,0.7293,0.5604,87.27239231278992,wm
T=0.1_42_wm,0.1,0.7333,0.5556,87.73138347884486,wm
T=0.1_43_wm,0.1,0.7191,0.5652,85.87862524785194,wm
T=0.1_44_wm,0.1,0.7249,0.57,86.86028628495339,wm
T=0.1_45_wm,0.1,0.7286,0.5459,85.37005347593582,wm
T=0.1_46_wm,0.1,0.7283,0.57,86.10198807157059,wm
T=0.1_47_wm,0.1,0.7267,0.5604,87.90645552560648,wm
T=0.1_48_wm,0.1,0.7294,0.5507,87.09671591672263,wm
T=0.1_49_wm,0.1,0.7205,0.5411,86.49148630136986,wm
T=0.1_50_wm,0.1,0.7152,0.5845,87.51212141427618,wm
T=0.3_1_original,0.3,0.7948,0.5556,87.88819072501633,original
T=0.3_2_original,0.3,0.7934,0.5411,85.81218481848184,original
T=0.3_3_original,0.3,0.8064,0.5556,85.13325970548863,original
T=0.3_4_original,0.3,0.7599,0.5507,85.52716766867067,original
T=0.3_5_original,0.3,0.7853,0.5266,87.93184157075153,original
T=0.3_6_original,0.3,0.8044,0.5169,85.06032068062827,original
T=0.3_7_original,0.3,0.7711,0.57,87.71351276742581,original
T=0.3_8_original,0.3,0.7699,0.599,86.36108196721311,original
T=0.3_9_original,0.3,0.7763,0.5942,87.71714481811942,original
T=0.3_10_original,0.3,0.7717,0.57,86.47950068399453,original
T=0.3_11_original,0.3,0.7717,0.5797,86.78529292929294,original
T=0.3_12_original,0.3,0.7722,0.5507,86.17179124579125,original
T=0.3_13_original,0.3,0.8019,0.5411,86.4473777173913,original
T=0.3_14_original,0.3,0.7751,0.5749,86.56505305039788,original
T=0.3_15_original,0.3,0.7924,0.5266,87.11025965379494,original
T=0.3_16_original,0.3,0.799,0.5266,84.86015181518152,original
T=0.3_17_original,0.3,0.8021,0.5411,86.36723517654897,original
T=0.3_18_original,0.3,0.7887,0.5362,85.62139657444006,original
T=0.3_19_original,0.3,0.7888,0.5459,88.06093288590604,original
T=0.3_20_original,0.3,0.7585,0.5845,86.61415458937198,original
T=0.3_21_original,0.3,0.7724,0.5507,85.46118791946309,original
T=0.3_22_original,0.3,0.7544,0.5556,86.22359999999999,original
T=0.3_23_original,0.3,0.801,0.5604,83.66438430311231,original
T=0.3_24_original,0.3,0.805,0.5459,86.06864918032787,original
T=0.3_25_original,0.3,0.7653,0.57,87.47052842809364,original
T=0.3_26_original,0.3,0.7967,0.57,87.52798146922568,original
T=0.3_27_original,0.3,0.7891,0.5314,85.7982894736842,original
T=0.3_28_original,0.3,0.8007,0.5845,88.22800403225807,original
T=0.3_29_original,0.3,0.7825,0.5507,86.29264882943144,original
T=0.3_30_original,0.3,0.8117,0.5556,86.55747027741084,original
T=0.3_31_original,0.3,0.8054,0.5217,88.67793265993265,original
T=0.3_32_original,0.3,0.78,0.5604,87.80652582159624,original
T=0.3_33_original,0.3,0.7848,0.5459,84.49810379241517,original
T=0.3_34_original,0.3,0.757,0.5894,88.55478349120433,original
T=0.3_35_original,0.3,0.7635,0.5845,87.66055214723926,original
T=0.3_36_original,0.3,0.7663,0.5652,88.56421823020627,original
T=0.3_37_original,0.3,0.7984,0.5894,85.48190849673203,original
T=0.3_38_original,0.3,0.7694,0.5604,84.97034113712375,original
T=0.3_39_original,0.3,0.7696,0.5314,86.22817379497624,original
T=0.3_40_original,0.3,0.7821,0.5556,86.94587118644068,original
T=0.3_41_original,0.3,0.7681,0.5507,84.43187122736418,original
T=0.3_42_original,0.3,0.7686,0.57,85.653745819398,original
T=0.3_43_original,0.3,0.7619,0.5556,87.56329530201342,original
T=0.3_44_original,0.3,0.7864,0.5121,84.3458962264151,original
T=0.3_45_original,0.3,0.7804,0.5314,86.86750679347826,original
T=0.3_46_original,0.3,0.7587,0.5556,85.12936793080506,original
T=0.3_47_original,0.3,0.7831,0.5556,88.63725609756098,original
T=0.3_48_original,0.3,0.7867,0.5411,84.56294470353097,original
T=0.3_49_original,0.3,0.8189,0.5604,86.52376152832674,original
T=0.3_50_original,0.3,0.7402,0.5604,86.20827376938638,original
T=0.3_1_wm,0.3,0.7602,0.5314,87.4915472203617,wm
T=0.3_2_wm,0.3,0.8091,0.5411,86.5720079787234,wm
T=0.3_3_wm,0.3,0.8116,0.599,85.73219758064516,wm
T=0.3_4_wm,0.3,0.7589,0.5749,87.3061528150134,wm
T=0.3_5_wm,0.3,0.7673,0.5314,87.28875084402429,wm
T=0.3_6_wm,0.3,0.7777,0.5507,86.69798561151077,wm
T=0.3_7_wm,0.3,0.7718,0.5797,87.6708276797829,wm
T=0.3_8_wm,0.3,0.7776,0.6087,85.7185931307794,wm
T=0.3_9_wm,0.3,0.7856,0.5459,86.34333333333333,wm
T=0.3_10_wm,0.3,0.7399,0.599,87.12602068965516,wm
T=0.3_11_wm,0.3,0.7647,0.5362,87.66062204192022,wm
T=0.3_12_wm,0.3,0.7864,0.5459,85.53669157608697,wm
T=0.3_13_wm,0.3,0.8407,0.5652,86.36980549966466,wm
T=0.3_14_wm,0.3,0.7922,0.5749,87.24732550554468,wm
T=0.3_15_wm,0.3,0.7845,0.5411,85.43764189189189,wm
T=0.3_16_wm,0.3,0.8156,0.5362,84.5030819672131,wm
T=0.3_17_wm,0.3,0.8173,0.5266,85.29371202113606,wm
T=0.3_18_wm,0.3,0.7942,0.5314,84.78309444072337,wm
T=0.3_19_wm,0.3,0.7817,0.5314,88.7159786239145,wm
T=0.3_20_wm,0.3,0.7597,0.5845,85.67016586040083,wm
T=0.3_21_wm,0.3,0.7778,0.5652,86.7512658227848,wm
T=0.3_22_wm,0.3,0.757,0.5507,88.38979333333333,wm
T=0.3_23_wm,0.3,0.7841,0.5604,87.06949966193375,wm
T=0.3_24_wm,0.3,0.8127,0.5459,85.21809025506867,wm
T=0.3_25_wm,0.3,0.7587,0.57,87.24896900269542,wm
T=0.3_26_wm,0.3,0.7981,0.5604,88.8145508982036,wm
T=0.3_27_wm,0.3,0.8026,0.5266,86.79201853077431,wm
