sample,T,score,seq_recovery,pLDDT,type
T=0.1_19_original,0.1,0.7585,0.508,81.73786006546645,original
T=0.1_20_original,0.1,0.7578,0.4984,81.54975389663659,original
T=0.1_21_original,0.1,0.7618,0.4904,81.22239005343198,original
T=0.1_22_original,0.1,0.7748,0.4792,81.83949702319852,original
T=0.1_23_original,0.1,0.7548,0.4984,81.30640756734526,original
T=0.1_24_original,0.1,0.7593,0.5064,81.74293911970382,original
T=0.1_25_original,0.1,0.7615,0.4792,82.6352674638137,original
T=0.1_26_original,0.1,0.7674,0.4776,80.48450984413454,original
T=0.1_27_original,0.1,0.765,0.4968,82.45531448473673,original
T=0.1_28_original,0.1,0.7616,0.5128,81.92344130389931,original
T=0.1_29_original,0.1,0.7694,0.4984,82.33816912972085,original
T=0.1_30_original,0.1,0.7668,0.4888,81.93048133795635,original
T=0.1_31_original,0.1,0.7798,0.492,82.5714848610535,original
T=0.1_32_original,0.1,0.7741,0.4952,81.11931253847733,original
T=0.1_33_original,0.1,0.757,0.4968,82.71818529536762,original
T=0.1_34_original,0.1,0.7796,0.492,81.40806995884773,original
T=0.1_35_original,0.1,0.7619,0.5016,81.62435327986839,original
T=0.1_36_original,0.1,0.7796,0.4936,82.97607723148343,original
T=0.1_37_original,0.1,0.7571,0.492,82.62257101982424,original
T=0.1_38_original,0.1,0.7736,0.508,82.93710193066224,original
T=0.1_39_original,0.1,0.7609,0.4888,80.95715660184239,original
T=0.1_40_original,0.1,0.7881,0.4856,83.27036424534226,original
T=0.1_41_original,0.1,0.7699,0.508,81.488010763817,original
T=0.1_42_original,0.1,0.7691,0.5016,81.86236514522821,original
T=0.1_43_original,0.1,0.7767,0.4872,83.33050261780105,original
T=0.1_44_original,0.1,0.778,0.5,82.41225395520854,original
T=0.1_45_original,0.1,0.7612,0.5048,81.21829353643474,original
T=0.1_46_original,0.1,0.7683,0.4808,81.5738282684071,original
T=0.1_47_original,0.1,0.7751,0.492,82.03136429608128,original
T=0.1_48_original,0.1,0.7823,0.484,81.88511010495986,original
T=0.1_49_original,0.1,0.7699,0.5,82.1479316808998,original
T=0.1_50_original,0.1,0.7575,0.4984,82.967041445271,original
T=0.1_1_wm,0.1,0.7594,0.4968,81.92637849989782,wm
T=0.1_2_wm,0.1,0.773,0.4952,81.58035957842529,wm
T=0.1_3_wm,0.1,0.7713,0.4808,81.84221787479406,wm
T=0.1_4_wm,0.1,0.7821,0.4856,82.06516352201258,wm
T=0.1_5_wm,0.1,0.7674,0.4952,82.92965326220764,wm
T=0.1_6_wm,0.1,0.7862,0.4872,82.02998536177331,wm
T=0.1_7_wm,0.1,0.7578,0.4952,82.24643195388099,wm
T=0.1_8_wm,0.1,0.7725,0.4904,82.4137866500312,wm
T=0.1_9_wm,0.1,0.7538,0.4984,82.13235780984719,wm
T=0.1_10_wm,0.1,0.7814,0.4888,82.21667699938004,wm
T=0.1_11_wm,0.1,0.7788,0.4888,82.30064549391626,wm
T=0.1_12_wm,0.1,0.7785,0.5,82.44291727748693,wm
T=0.1_13_wm,0.1,0.7707,0.5016,82.14723803630363,wm
T=0.1_14_wm,0.1,0.7673,0.5032,82.28667010096846,wm
T=0.1_15_wm,0.1,0.7668,0.5048,82.1938968008256,wm
T=0.1_16_wm,0.1,0.7678,0.4984,81.81466750841751,wm
T=0.1_17_wm,0.1,0.7631,0.4968,82.67918168327327,wm
T=0.1_18_wm,0.1,0.7634,0.4888,81.35500307314075,wm
T=0.1_19_wm,0.1,0.7574,0.508,82.00836467702372,wm
T=0.1_20_wm,0.1,0.7555,0.4984,81.37195036915504,wm
T=0.1_21_wm,0.1,0.7618,0.4904,81.22239005343198,wm
T=0.1_22_wm,0.1,0.7767,0.4808,81.12424055829229,wm
T=0.1_23_wm,0.1,0.7542,0.5,81.47508425811755,wm
T=0.1_24_wm,0.1,0.7593,0.5064,81.74293911970382,wm
T=0.1_25_wm,0.1,0.7606,0.4792,82.89614399664147,wm
T=0.1_26_wm,0.1,0.7674,0.4776,80.48450984413454,wm
T=0.1_27_wm,0.1,0.7657,0.4984,82.33642915642916,wm
T=0.1_28_wm,0.1,0.7649,0.4872,82.71555205709488,wm
